Rank,price,propertyAddress,typeOfProperty,noOfBeds,foundFloorPlanImage,mapLocation,area,priceRank,areaRank,roomRank,Rank Sum,NW,£/m2
102,650000,"Hyde Crescent, West Hendon, NW9",Semi-Detached,4,https://media.rightmove.co.uk/dir/224k/223670/125757521/223670_ACR220021_FLP_00_0002.jpeg,https://www.rightmove.co.uk/properties/125757521#/map?channel=RES_BUY,1291,401,70,9,480,TRUE,503.48567
103,625000,"Meyrick Road, London, NW10",Terraced,3,https://media.rightmove.co.uk/dir/11k/10007/124092239/10007_24605260_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124092239#/map?channel=RES_BUY,1276,321,77.5,82,480.5,TRUE,489.8119122
104,475000,"Harrow Drive, N9",Terraced,3,https://media.rightmove.co.uk/dir/6k/5883/127837013/5883_addison_2074793709_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127837013#/map?channel=RES_BUY,917,83.5,316,82,481.5,FALSE,
105,530000,"North Circular Road, London, NW2",End of Terrace,3,https://media.rightmove.co.uk/dir/11k/10007/124092416/10007_24606781_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124092416#/map?channel=RES_BUY,991,151.5,248.5,82,482,TRUE,534.8133199
106,575000,"Rushgrove Avenue, London",Terraced,3,https://media.rightmove.co.uk/dir/12k/11432/127764521/11432_0025_HRT002509510_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127764521#/map?channel=RES_BUY,1088,222.5,178.5,82,483,FALSE,528.4926471
107,500000,"Coppies Grove, London, N11",End of Terrace,3,https://media.rightmove.co.uk/dir/14k/13108/126864341/13108_NFI170302_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126864341#/map?channel=RES_BUY,950,114.5,288.5,82,485,FALSE,
108,580000,"Fotheringham Road, Enfield",Semi-Detached,3,https://media.rightmove.co.uk/dir/4k/3843/124876703/3843_ENF103158_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124876703#/map?channel=RES_BUY,1107,241,162,82,485,FALSE,523.9385727
109,485000,"Dimsdale Drive, Enfield, Middlesex, EN1",Terraced,3,https://media.rightmove.co.uk/dir/46k/45596/127983086/45596_2210131_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127983086#/map?channel=RES_BUY,928,95.5,310,82,487.5,FALSE,522.6293103
110,650000,"Linksway, Hendon, NW4 1JR",Town House,3,https://media.rightmove.co.uk/dir/20k/19416/125698547/19416_103014006169_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125698547#/map?channel=RES_BUY,1679.9,401,6,82,489,TRUE,386.9277933
111,525000,"Gladbeck Way, Enfield",Terraced,3,https://media.rightmove.co.uk/dir/4k/3843/123623672/3843_ENF103123_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123623672#/map?channel=RES_BUY,976,142,265,82,489,FALSE,537.9098361
112,485000,"Stockton Road, London, N18",End of Terrace,3,https://media.rightmove.co.uk/dir/248k/247295/127152824/247295_31801452_FLP_00_0000.png,https://www.rightmove.co.uk/properties/127152824#/map?channel=RES_BUY,925,95.5,313,82,490.5,FALSE,
113,650000,"The Avenue, London, N17",Terraced,4,https://media.rightmove.co.uk/dir/37k/36308/128156672/36308_HAR220109_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128156672#/map?channel=RES_BUY,1271,401,80.5,9,490.5,FALSE,511.4083399
114,670000,"Grove Crescent, London, NW9",Semi-Detached,4,https://media.rightmove.co.uk/dir/66k/65598/128155172/65598_KBS220439_FLP_00_0000.png,https://www.rightmove.co.uk/properties/128155172#/map?channel=RES_BUY,1382,441,41,9,491,TRUE,484.804631
115,475000,"Ivy Road, Southgate, N14",Semi-Detached,3,https://media.rightmove.co.uk/dir/83k/82874/128249603/82874_31885450_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128249603#/map?channel=RES_BUY,899,83.5,328.5,82,494,FALSE,
116,625000,"Princes Avenue, Palmers Green, London N13",House,3,https://media.rightmove.co.uk/dir/10k/9316/127272983/9316_31809654_FLP_00_0000.png,https://www.rightmove.co.uk/properties/127272983#/map?channel=RES_BUY,1251,321,91.5,82,494.5,FALSE,499.6003197
117,675000,"Fryent Way, London, NW9",Semi-Detached,4,https://media.rightmove.co.uk/dir/66k/65598/128197133/65598_KBS220301_FLP_00_0000.png,https://www.rightmove.co.uk/properties/128197133#/map?channel=RES_BUY,1475,458,30,9,497,TRUE,457.6271186
118,575000,"Pasteur Gardens, London, N18 ",Semi-Detached,3,https://media.rightmove.co.uk/dir/205k/204362/127814483/204362_315003_FLP_00_0000.png,https://www.rightmove.co.uk/properties/127814483#/map?channel=RES_BUY,1065,222.5,195,82,499.5,FALSE,539.9061033
119,450000,"Dryfield Road, EDGWARE, HA8",Terraced,3,https://media.rightmove.co.uk/dir/112k/111497/126580316/111497_25149527_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126580316#/map?channel=RES_BUY,840,52.5,365.5,82,500,FALSE,
120,650000,"Seaford Road, Enfield",Semi-Detached,3,https://media.rightmove.co.uk/dir/4k/3843/128234006/3843_ENF103371_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128234006#/map?channel=RES_BUY,1536,401,20,82,503,FALSE,423.1770833
121,625000,"Westminster Drive, Palmers Green, N13",Town House,3,https://media.rightmove.co.uk/dir/79k/78755/126044333/78755_24946377_FLP_00_0002.jpeg,https://www.rightmove.co.uk/properties/126044333#/map?channel=RES_BUY,1232,321,101,82,504,FALSE,507.3051948
122,600000,"Youngmans Close, Enfield, Middlesex, EN2",End of Terrace,3,https://media.rightmove.co.uk/dir/6k/5921/126760934/5921_HKE220019_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126760934#/map?channel=RES_BUY,1142,283.5,140,82,505.5,FALSE,525.3940455
123,535000,"Fuller Street, Hendon, London, NW4",Terraced,3,https://media.rightmove.co.uk/dir/46k/45890/121782002/45890_HEN220068_FLP_00_0001.jpeg,https://www.rightmove.co.uk/properties/121782002#/map?channel=RES_BUY,971,155.5,268.5,82,506,TRUE,550.9783728
124,625000,"Church Lane, Kingsbury, London, NW9",Semi-Detached,3,https://media.rightmove.co.uk/dir/5k/4571/122803394/4571_KGB220056_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/122803394#/map?channel=RES_BUY,1226,321,104,82,507,TRUE,509.7879282
125,650000,"Colin Park Road, Colindale, London, NW9",Semi-Detached,3,https://media.rightmove.co.uk/dir/224k/223670/127330616/223670_ACR220268_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127330616#/map?channel=RES_BUY,1485,401,27,82,510,TRUE,437.7104377
126,650000,"Sunnymead Road, Kingsbury, London, NW9",Terraced,3,https://media.rightmove.co.uk/dir/5k/4571/127524230/4571_KGB190017_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127524230#/map?channel=RES_BUY,1484,401,28,82,511,TRUE,438.0053908
127,550000,"Salcombe Gardens, Mill Hill",Semi-Detached,3,https://media.rightmove.co.uk/dir/47k/46983/125175431/46983_31659855_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125175431#/map?channel=RES_BUY,990,180,250,82,512,FALSE,555.5555556
128,425000,"Suffolk Road, Enfield, EN3",Terraced,3,https://media.rightmove.co.uk/dir/204k/203429/126357143/203429_1391160-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126357143#/map?channel=RES_BUY,768,31,401.5,82,514.5,FALSE,553.3854167
129,650000,"Connaught Gardens, London, N13",End of Terrace,3,https://media.rightmove.co.uk/dir/59k/58120/127619090/58120_PGN220281_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127619090#/map?channel=RES_BUY,1460,401,32,82,515,FALSE,445.2054795
130,640000,"Gordon Hill, Enfield, EN2",Terraced,4,https://media.rightmove.co.uk/dir/6k/5921/121373315/5921_HKE210156_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/121373315#/map?channel=RES_BUY,1128,356.5,149.5,9,515,FALSE,567.3758865
131,675000,"Roundwood Road, Willesden",House,5,https://media.rightmove.co.uk/dir/51k/50343/128579489/50343_31909350_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128579489#/map?channel=RES_BUY,1318,458,56,1,515,FALSE,512.1396055
132,699950,"Park Road, Hendon",Terraced,4,https://media.rightmove.co.uk/dir/45k/44870/127851365/44870_31851636_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127851365#/map?channel=RES_BUY,1651,499.5,8,9,516.5,FALSE,423.9551787
133,650000,"Roe Green, Kingsbury, London, NW9",Semi-Detached,3,https://media.rightmove.co.uk/dir/5k/4571/125955218/4571_KGB220130_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125955218#/map?channel=RES_BUY,1432,401,34,82,517,TRUE,453.9106145
134,625000,"Madeira Road, Palmers Green, N13",End of Terrace,3,https://media.rightmove.co.uk/dir/83k/82874/127106978/82874_31798009_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127106978#/map?channel=RES_BUY,1201,321,115.5,82,518.5,FALSE,520.3996669
135,550000,"Evelyn Avenue, Kingsbury, London, NW9",Semi-Detached,3,https://media.rightmove.co.uk/dir/5k/4571/125701652/4571_KGB220028_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125701652#/map?channel=RES_BUY,983,180,258,82,520,TRUE,559.5116989
136,529995,"Connaught Avenue, Enfield",Terraced,3,https://media.rightmove.co.uk/dir/32k/31187/126209900/31187_11575293_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126209900#/map?channel=RES_BUY,950,150,288.5,82,520.5,FALSE,557.8894737
137,650000,"Nursery Road, Southgate N14",Semi-Detached,3,https://media.rightmove.co.uk/dir/83k/82115/124047545/82115_102397005386_FLP_00_0001.jpeg,https://www.rightmove.co.uk/properties/124047545#/map?channel=RES_BUY,1390,401,38,82,521,FALSE,467.6258993
138,600000,"Holly Walk, Enfield",Terraced,3,https://media.rightmove.co.uk/dir/4k/3843/126709709/3843_ENF103135_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126709709#/map?channel=RES_BUY,1117,283.5,155.5,82,521,FALSE,
139,575000,"Robinson Close, Enfield",House,3,https://media.rightmove.co.uk/dir/30k/29709/122573849/29709_31432990_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/122573849#/map?channel=RES_BUY,1033,222.5,217,82,521.5,FALSE,556.6311713
140,680000,"Tenniswood Road, Enfield, EN1",Semi-Detached,5,https://media.rightmove.co.uk/dir/104k/103154/128209355/103154_EEA220361_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128209355#/map?channel=RES_BUY,1375,478.5,43.5,1,523,FALSE,494.5454545
141,600000,"Brodie Road, Enfield, EN2",Semi-Detached,3,https://media.rightmove.co.uk/dir/104k/103154/128398433/103154_EEA220386_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128398433#/map?channel=RES_BUY,1112,283.5,160,82,525.5,FALSE,539.5683453
142,675000,"Fairway Avenue, Kingsbury, London, NW9",Semi-Detached,5,https://media.rightmove.co.uk/dir/224k/223670/127370375/223670_ACR220152_FLP_00_0001.jpeg,https://www.rightmove.co.uk/properties/127370375#/map?channel=RES_BUY,1302,458,67,1,526,TRUE,518.4331797
143,650000,"Firs Lane, Winchmore Hill, N21",House,3,https://media.rightmove.co.uk/dir/79k/78755/127926632/78755_25452539_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127926632#/map?channel=RES_BUY,1375,401,43.5,82,526.5,FALSE,
144,500000,"Halstead Road, Enfield",End of Terrace,3,https://media.rightmove.co.uk/dir/32k/31187/85950207/31187_11755910_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85950207#/map?channel=RES_BUY,896,114.5,331,82,527.5,FALSE,558.0357143
145,649950,"The Grove, Kingsbury",Terraced,3,https://media.rightmove.co.uk/dir/182k/181559/128157902/181559_wbe_965105421_FLP_00_0001.jpeg,https://www.rightmove.co.uk/properties/128157902#/map?channel=RES_BUY,1269,361.5,84.5,82,528,FALSE,
146,575000,"Princes Avenue, London",Terraced,3,https://media.rightmove.co.uk/dir/75k/74120/128266223/74120_31886590_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128266223#/map?channel=RES_BUY,1017,222.5,225,82,529.5,FALSE,565.3883972
147,645000,"Brodie Road, Enfield, EN2",End of Terrace,3,https://media.rightmove.co.uk/dir/204k/203429/125532809/203429_1403328-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125532809#/map?channel=RES_BUY,1257,360,89,82,531,FALSE,513.1264916
148,550000,"Verney Street, Wembley, London, NW10",Terraced,4,https://media.rightmove.co.uk/dir/167k/166331/124117370/166331_1204479_FLP_00_0000.png,https://www.rightmove.co.uk/properties/124117370#/map?channel=RES_BUY,872,180,343,9,532,TRUE,630.733945
149,450000,"Gordon Road, Edmonton",Detached,3,https://media.rightmove.co.uk/dir/71k/70962/128464688/70962_101122001193_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128464688#/map?channel=RES_BUY,775,52.5,398.5,82,533,FALSE,
150,650000,"Rusper Road, London, N22",End of Terrace,3,https://media.rightmove.co.uk/dir/204k/203468/123869435/203468_1345617-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123869435#/map?channel=RES_BUY,1335,401,50,82,533,FALSE,
151,500000,"Devonshire Hill Lane, London, N17",Terraced,3,https://media.rightmove.co.uk/dir/116k/115756/126553823/115756_101681002780_FLP_00_0001.jpeg,https://www.rightmove.co.uk/properties/126553823#/map?channel=RES_BUY,882,114.5,339,82,535.5,FALSE,566.893424
152,640000,"Shaftesbury Avenue, New Barnet, Barnet, EN5",Terraced,3,https://media.rightmove.co.uk/dir/30k/29165/124333709/29165_BRN220184_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124333709#/map?channel=RES_BUY,1240,356.5,97,82,535.5,FALSE,
153,650000,"Vicars Close, Enfield",Semi-Detached,3,https://media.rightmove.co.uk/dir/4k/3843/125509985/3843_ENF103207_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125509985#/map?channel=RES_BUY,1324,401,53,82,536,FALSE,490.9365559
154,369950,"Clydesdale, Enfield",House,3,https://media.rightmove.co.uk/dir/7k/6551/128604527/6551_31911151_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128604527#/map?channel=RES_BUY,650,3,451.5,82,536.5,FALSE,569.1538462
155,570000,"Moselle Avenue, Wood Green, London",End of Terrace,3,https://media.rightmove.co.uk/dir/15k/14497/124610588/14497_102728005820_FLP_00_0000.png,https://www.rightmove.co.uk/properties/124610588#/map?channel=RES_BUY,989,204.5,251,82,537.5,FALSE,576.3397371
156,585000,"Devonshire Hill Lane, London, N17",End of Terrace,3,https://media.rightmove.co.uk/dir/116k/115756/128239451/115756_101681002832_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128239451#/map?channel=RES_BUY,1041,249,209.5,82,540.5,FALSE,
157,600000,"Gordon Hill, Enfield",Terraced,3,https://media.rightmove.co.uk/dir/4k/3843/125881478/3843_ENF103234_FLP_00_0002.jpeg,https://www.rightmove.co.uk/properties/125881478#/map?channel=RES_BUY,1096,283.5,175,82,540.5,FALSE,547.4452555
158,650000,"St. Georges Avenue, Colindale, London, NW9",Semi-Detached,3,https://media.rightmove.co.uk/dir/66k/65598/127968968/65598_KBS200335_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127968968#/map?channel=RES_BUY,1316,401,59,82,542,TRUE,493.9209726
159,700000,"Randall Avenue, Neasden, London",House,4,https://media.rightmove.co.uk/dir/1k/391/127523183/391_31828616_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127523183#/map?channel=RES_BUY,1830,531.5,3,9,543.5,FALSE,382.5136612
160,700000,"Colin Gardens, Colindale, London, NW9",End of Terrace,4,https://media.rightmove.co.uk/dir/224k/223670/127661357/223670_ACR220237_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127661357#/map?channel=RES_BUY,1695,531.5,5,9,545.5,TRUE,412.979351
161,699950,"Salcombe Gardens, London",Semi-Detached,4,https://media.rightmove.co.uk/dir/45k/44870/125143946/44870_31657845_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125143946#/map?channel=RES_BUY,1385,499.5,39,9,547.5,FALSE,505.3790614
162,500000,"Walpole Road, Tottenham, N17 6BW",Terraced,3,https://media.rightmove.co.uk/dir/38k/37755/122918231/37755_102706001599_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/122918231#/map?channel=RES_BUY,860,114.5,351,82,547.5,FALSE,581.3953488
163,605000,"Evelyn Avenue, London, NW9",Terraced,3,https://media.rightmove.co.uk/dir/204k/203015/128376470/203015_1447289-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128376470#/map?channel=RES_BUY,1105,301.5,164.5,82,548,TRUE,547.5113122
164,600000,"Kelvin Avenue, Palmers Green, N13",Terraced,3,https://media.rightmove.co.uk/dir/204k/203468/123773678/203468_1261535-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123773678#/map?channel=RES_BUY,1085,283.5,182.5,82,548,FALSE,552.9953917
165,525000,"Laffitte House, New Orleans Walk, Hornsey Rise",Apartment,3,https://media.rightmove.co.uk/dir/32k/31274/120119039/31274_102951004568_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/120119039#/map?channel=RES_BUY,903,142,325.5,82,549.5,FALSE,
166,700000,"Coverdale Road, Friern Barnet, London, N11",House,4,https://media.rightmove.co.uk/dir/14k/13105/123585542/13105_MUL210213_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123585542#/map?channel=RES_BUY,1634,531.5,9,9,549.5,FALSE,
167,450000,"Abbots Road, Edgware",Terraced,3,https://media.rightmove.co.uk/dir/233k/232898/128603687/232898_101809018332_FLP_00_0000.png,https://www.rightmove.co.uk/properties/128603687#/map?channel=RES_BUY,738,52.5,415.5,82,550,FALSE,
168,650000,"Chipstead Gardens, Dollis Hill, London, NW2",Terraced,4,https://media.rightmove.co.uk/dir/72k/71401/85653681/71401_1206038_FLP_00_0000.png,https://www.rightmove.co.uk/properties/85653681#/map?channel=RES_BUY,1140,401,142,9,552,TRUE,
169,650000,"Chipstead Gardens, London, NW2",Terraced,4,https://media.rightmove.co.uk/dir/11k/10007/124092455/10007_24607063_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124092455#/map?channel=RES_BUY,1140,401,142,9,552,TRUE,570.1754386
170,650000,"White Hart Lane, London",Terraced,3,https://media.rightmove.co.uk/dir/9k/8164/125439794/8164_31678562_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125439794#/map?channel=RES_BUY,1298,401,69,82,552,FALSE,500.770416
171,700000,"Wells House Road, North Acton, London, NW10",House,4,https://media.rightmove.co.uk/dir/99k/98531/126681833/98531_1213159_FLP_00_0000.png,https://www.rightmove.co.uk/properties/126681833#/map?channel=RES_BUY,1602,531.5,13,9,553.5,TRUE,436.9538077
172,625000,"The Circle, London, NW2",Terraced,3,https://media.rightmove.co.uk/dir/11k/10007/125663174/10007_25039633_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125663174#/map?channel=RES_BUY,1126,321,151.5,82,554.5,TRUE,555.062167
173,675000,"Wolves Lane, N22",Semi-Detached,3,https://media.rightmove.co.uk/dir/154k/153011/127330949/153011_102099000942_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127330949#/map?channel=RES_BUY,1591,458,15,82,555,FALSE,
174,700000,"High Road, New Southgate",Terraced,4,https://media.rightmove.co.uk/dir/56k/55531/128243288/55531_2271519_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128243288#/map?channel=RES_BUY,1580,531.5,17,9,557.5,FALSE,
175,685000,"Dongola Road, Tottenham, London, N17",Terraced,4,https://media.rightmove.co.uk/dir/167k/166970/126861917/166970_102489000982_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126861917#/map?channel=RES_BUY,1303,485,65.5,9,559.5,FALSE,525.7099002
176,700000,"Hilltop Avenue, London",Terraced,4,https://media.rightmove.co.uk/dir/106k/105653/123369413/105653_2262848_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123369413#/map?channel=RES_BUY,1532,531.5,21,9,561.5,FALSE,456.9190601
177,639000,"Bowes Road, London, N11",Terraced,3,https://media.rightmove.co.uk/dir/23k/22943/126158129/22943_BNL220080_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126158129#/map?channel=RES_BUY,1161,351,130.5,82,563.5,FALSE,
178,550000,"Stanley Road, London, N11",Terraced,3,https://media.rightmove.co.uk/dir/204k/203468/126422687/203468_1405867-1_FLP_00_0001.jpeg,https://www.rightmove.co.uk/properties/126422687#/map?channel=RES_BUY,933,180,301.5,82,563.5,FALSE,
179,650000,"Cairnfield Avenue, London, NW2",Terraced,3,https://media.rightmove.co.uk/dir/11k/10007/126801344/10007_25203374_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126801344#/map?channel=RES_BUY,1270,401,82.5,82,565.5,TRUE,
180,650000,"Watford Way, London",Semi-Detached,3,https://media.rightmove.co.uk/dir/45k/44870/125588354/44870_31688059_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125588354#/map?channel=RES_BUY,1270,401,82.5,82,565.5,FALSE,511.8110236
181,600000,"Lancaster Road, Barnet",Semi-Detached,3,https://media.rightmove.co.uk/dir/2k/1950/127754789/1950_WTS106013_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127754789#/map?channel=RES_BUY,1049,283.5,201,82,566.5,FALSE,
182,575000,"Thackeray Avenue, Tottenham, N17",Terraced,3,https://media.rightmove.co.uk/dir/116k/115756/127626452/115756_101681002829_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127626452#/map?channel=RES_BUY,980,222.5,262,82,566.5,FALSE,586.7346939
183,585000,"Strode Road, London, N17",Terraced,3,https://media.rightmove.co.uk/dir/33k/32061/128418722/32061_PSR220314_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128418722#/map?channel=RES_BUY,1003,249,238,82,569,FALSE,
184,575000,"Gordon Road, Enfield",House,3,https://media.rightmove.co.uk/dir/32k/31187/126990611/31187_11688315_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126990611#/map?channel=RES_BUY,976,222.5,265,82,569.5,FALSE,589.1393443
185,500000,"Chailey Avenue, Enfield, EN1",End of Terrace,3,https://media.rightmove.co.uk/dir/104k/103154/127893125/103154_EEA220344_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127893125#/map?channel=RES_BUY,820,114.5,374,82,570.5,FALSE,609.7560976
186,525000,"Farr Road, Enfield",Semi-Detached,3,https://media.rightmove.co.uk/dir/66k/65535/127526021/65535_31828747_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127526021#/map?channel=RES_BUY,860,142,351,82,575,FALSE,610.4651163
187,675000,"Wellington Road, Enfield",End of Terrace,4,https://media.rightmove.co.uk/dir/4k/3843/124250897/3843_ENF103037_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124250897#/map?channel=RES_BUY,1214,458,110,9,577,FALSE,556.0131796
188,585000,"Mafeking Road, London, N17",Terraced,3,https://media.rightmove.co.uk/dir/1k/582/127760702/582_TOT200189_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127760702#/map?channel=RES_BUY,991,249,248.5,82,579.5,FALSE,
189,650000,"Slades Hill, Enfield",Town House,3,https://media.rightmove.co.uk/dir/4k/3843/121270868/3843_ENF102942_FLP_00_0001.jpeg,https://www.rightmove.co.uk/properties/121270868#/map?channel=RES_BUY,1236,401,99,82,582,FALSE,525.8899676
190,700000,"Hazelwood Lane, Palmers Green, N13",Terraced,4,https://media.rightmove.co.uk/dir/32k/31274/128317688/31274_102951004701_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128317688#/map?channel=RES_BUY,1377,531.5,42,9,582.5,FALSE,508.3514887
191,575000,"Chase Road, Oakwood N14 4QY",End of Terrace,3,https://media.rightmove.co.uk/dir/51k/50493/125882807/50493_31708195_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125882807#/map?channel=RES_BUY,961,222.5,279,82,583.5,FALSE,
192,699950,"Ramillies Road, London",Semi-Detached,4,https://media.rightmove.co.uk/dir/18k/17295/128588078/17295_11222397_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128588078#/map?channel=RES_BUY,1281,499.5,76,9,584.5,FALSE,
193,675000,"Truro Road, London, N22",Terraced,3,https://media.rightmove.co.uk/dir/25k/24398/126226934/24398_11395870_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126226934#/map?channel=RES_BUY,1374,458,45,82,585,FALSE,
194,699950,"Great North Road, New Barnet, EN5",End of Terrace,3,https://media.rightmove.co.uk/dir/1k/595/125474963/595_WHS190469_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125474963#/map?channel=RES_BUY,1713,499.5,4,82,585.5,FALSE,408.6106246
195,675000,"New Barnet, Barnet, EN5",Terraced,3,https://media.rightmove.co.uk/dir/50k/49431/85344612/49431_4518677_FLP_00_0000.png,https://www.rightmove.co.uk/properties/85344612#/map?channel=RES_BUY,1343,458,47,82,587,FALSE,502.6061057
196,585000,"St Raphaels Way, Wembley, London, NW10",Semi-Detached,3,https://media.rightmove.co.uk/dir/167k/166331/127756535/166331_1216851_FLP_00_0000.png,https://www.rightmove.co.uk/properties/127756535#/map?channel=RES_BUY,984,249,257,82,588,TRUE,594.5121951
197,700000,"Pymmes Green Road, London, N11",Semi-Detached,4,https://media.rightmove.co.uk/dir/158k/157739/126972125/157739_SOU220169_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126972125#/map?channel=RES_BUY,1341,531.5,48,9,588.5,FALSE,521.9985086
198,520000,"Gresham Road, London, NW10",End of Terrace,3,https://media.rightmove.co.uk/dir/11k/10007/127315433/10007_25341372_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127315433#/map?channel=RES_BUY,824,134,373,82,589,TRUE,631.0679612
199,575000,"New Barnet, Barnet, EN4",Terraced,3,https://media.rightmove.co.uk/dir/50k/49431/126869843/49431_4682316_FLP_00_0000.png,https://www.rightmove.co.uk/properties/126869843#/map?channel=RES_BUY,951,222.5,286,82,590.5,FALSE,604.6267087
200,600000,"Brodie Road, Enfield",Semi-Detached,3,https://media.rightmove.co.uk/dir/8k/7624/127913324/7624_31855942_FLP_00_0001.jpeg,https://www.rightmove.co.uk/properties/127913324#/map?channel=RES_BUY,1015,283.5,227.5,82,593,FALSE,591.1330049
201,500000,"Calvert Road, Barnet, EN5",Terraced,3,https://media.rightmove.co.uk/dir/204k/203429/128154401/203429_1410107-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128154401#/map?channel=RES_BUY,774,114.5,400,82,596.5,FALSE,645.994832
202,699950,"Watford Way, Hendon NW4",House,3,https://media.rightmove.co.uk/dir/47k/46965/124642580/46965_49869_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124642580#/map?channel=RES_BUY,1545,499.5,18,82,599.5,TRUE,453.0420712
203,464995,"Thornley Close, Northumberland Park, London",Terraced,4,https://media.rightmove.co.uk/dir/113k/112351/123909491/112351_RS0161_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123909491#/map?channel=RES_BUY,0,66,524.5,9,599.5,FALSE,
204,565000,"Layfield Crescent, Hendon NW4",House,3,https://media.rightmove.co.uk/dir/47k/46965/128625329/46965_53191_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128625329#/map?channel=RES_BUY,915,201,317,82,600,TRUE,617.4863388
